,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,m25_54,0.63,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,m25_54,300,180
,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,w25_54,0.59,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,w25_54,290,180
,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,p18_49,0.53,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,p18_49,537,180
,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,m18_49,0.54,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,m18_49,274,180
,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,w18_49,0.51,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,w18_49,263,180
,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,p2_17,0.38,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,p2_17,192,180
,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,p55,0.48,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,p55,358,180
,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,p2,0.49,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,p2,1198,180
,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,p18_34,0.44,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,p18_34,232,180
,DISC,2015-6-11,08:00P -11:00P ,,aa,l3d,p35_54,0.62,180
,DISC,2015-6-11,08:00P -11:00P ,,imp,l3d,p35_54,416,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,p25_54,1.15,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,p25_54,1118,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,m25_54,1.35,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,m25_54,641,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,w25_54,0.96,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,w25_54,477,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,p18_49,0.89,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,p18_49,911,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,m18_49,1.07,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,m18_49,542,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,w18_49,0.72,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,w18_49,369,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,p2_17,0.41,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,p2_17,207,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,p55,1.75,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,p55,1301,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,p2,1.09,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,p2,2673,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,p18_34,0.54,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,p18_34,286,180
,DISC,2015-6-12,08:00P -11:00P ,,aa,l3d,p35_54,1.31,180
,DISC,2015-6-12,08:00P -11:00P ,,imp,l3d,p35_54,879,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,p25_54,0.23,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,p25_54,223,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,m25_54,0.28,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,m25_54,133,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,w25_54,0.18,180
,DISC,2015-6-13,08:00P -11:00P ,,imp,l3d,w25_54,89,180
,DISC,2015-6-13,08:00P -11:00P ,,aa,l3d,p18_49,0.19,180
